gene_symbol,present_in_gse163634
AC008764.4,False
AC008764.5,False
AC008764.6,False
AC008764.8,False
AC008770.1,False
AC008770.2,False
AC008771.1,False
AC008780.2,False
AC008781.1,False
AC008781.2,False
AC008799.2,False
AC008840.1,False
AC008870.3,False
AC008870.4,False
AC008871.1,False
AC008875.1,False
AC008878.1,False
AC008878.3,False
AC008878.4,False
AC008885.2,False
AC008892.1,False
AC008894.1,False
AC008894.2,False
AC008897.2,False
AC008897.3,False
AC008906.1,False
AC008906.2,False
AC008914.1,True
AC008915.2,False
AC008937.1,False
AC008937.2,True
AC008937.3,True
AC008938.1,True
AC008945.1,False
AC008946.1,False
AC008957.1,False
AC008957.2,False
AC008966.1,False
AC008966.2,False
AC008972.1,False
AC008972.2,False
AC008982.1,False
AC009005.1,False
AC009019.1,False
AC009021.1,False
AC009021.2,False
AC009034.1,False
AC009035.1,True
AC009041.1,False
AC009041.2,True
AC009053.2,False
AC009053.3,False
AC009055.1,False
AC009055.2,False
AC009060.1,True
AC009061.1,False
AC009061.2,False
AC009063.1,False
AC009063.2,False
AC009065.1,True
AC009065.3,True
AC009065.4,False
AC009065.6,False
AC009065.7,False
AC009065.8,False
AC009075.1,False
AC009086.2,False
AC009087.1,False
AC009088.1,False
AC009088.2,False
AC009088.3,False
AC009090.2,False
AC009090.3,False
AC009093.1,True
AC009093.2,False
AC009093.4,False
AC009093.5,False
AC009093.6,False
AC009095.1,False
AC009097.1,False
AC009097.2,False
AC009097.3,False
AC009097.4,False
AC009102.2,False
AC009107.2,False
AC009108.3,False
AC009113.1,False
AC009113.2,False
AC009118.1,False
AC009118.2,False
AC009118.3,False
AC009119.1,False
AC009119.2,False
AC009119.3,False
AC009120.3,True
AC009120.4,True
AC009120.5,True
AC009121.1,True
AC009121.2,False
AC009123.1,False
AC009126.1,False
AC009133.1,False
AC009133.2,False
AC009133.3,False
AC009133.4,False
AC009137.1,False
AC009139.1,False
AC009139.2,False
AC009145.3,False
AC009148.1,False
AC009154.1,False
AC009154.2,False
AC009158.1,True
AC009159.1,True
AC009159.2,False
AC009159.3,False
AC009163.1,False
AC009163.4,False
AC009163.6,False
AC009163.7,False
AC009171.2,False
AC009185.1,False
AC009226.1,False
AC009227.1,False
AC009228.1,True
AC009229.1,False
AC009229.2,False
AC009229.3,False
AC009237.14,False
AC009237.15,False
AC009242.1,False
AC009264.1,False
AC009269.2,False
AC009269.3,False
AC009271.1,False
AC009275.1,False
AC009276.1,False
AC009283.1,False
AC009292.1,False
AC009299.3,True
AC009303.2,False
AC009303.3,True
AC009309.1,False
AC009312.1,True
AC009313.1,True
AC009318.1,False
AC009318.2,False
AC009318.3,False
AC009318.4,False
AC009365.1,False
AC009365.2,False
AC009365.3,True
AC009403.1,False
AC009404.1,False
AC009414.2,False
AC009435.1,False
AC009446.1,False
AC009478.1,True
AC009480.1,True
AC009486.1,False
AC009487.1,False
AC009495.1,True
AC009495.2,True
AC009495.3,True
AC009501.1,False
AC009502.1,True
AC009505.1,False
AC009506.1,True
AC009509.1,False
AC009509.2,False
AC009509.4,False
AC009511.1,False
AC009511.2,False
AC009518.1,False
AC009542.1,False
AC009549.1,False
AC009554.1,False
AC009560.1,False
AC009562.1,False
AC009563.1,False
AC009570.1,False
AC009623.2,False
AC009630.1,False
AC009630.2,False
AC009630.3,False
AC009646.2,False
AC009652.1,False
AC009652.2,False
AC009656.1,False
AC009686.1,False
AC009686.2,False
AC009690.1,False
AC009690.2,False
AC009704.1,False
AC009716.1,False
AC009720.1,False
AC009743.1,False
AC009779.2,False
AC009779.3,False
AC009779.5,False
AC009802.1,True
AC009812.1,False
AC009812.3,False
AC009812.4,False
AC009831.1,True
AC009852.1,False
AC009884.1,False
AC009902.2,False
AC009902.3,False
AC009908.1,False
AC009948.1,False
AC009948.3,False
AC009948.4,False
AC009950.1,False
AC009951.2,True
AC009955.2,False
AC009955.3,False
AC009955.4,False
AC009961.1,False
AC009962.1,False
AC009970.1,True
AC009971.1,False
AC009974.1,False
AC009975.2,False
AC010082.1,False
AC010096.1,True
AC010099.4,False
AC010127.1,False
AC010132.1,False
AC010132.3,False
AC010132.4,False
AC010136.1,False
AC010139.1,True
AC010149.1,False
AC010163.1,False
AC010163.2,False
AC010168.1,False
AC010173.1,False
AC010175.1,False
AC010185.1,False
AC010186.1,False
AC010197.1,False
AC010198.1,False
AC010201.1,False
AC010201.2,False
AC010203.2,False
AC010205.1,False
AC010207.1,True
AC010226.1,False
AC010235.1,True
AC010240.3,True
AC010245.1,False
AC010245.2,False
AC010247.2,False
AC010255.1,False
AC010255.2,False
AC010255.3,False
AC010260.1,False
AC010261.1,False
AC010261.2,False
AC010266.2,False
AC010271.1,False
AC010271.2,False
AC010273.1,False
AC010273.2,False
AC010275.1,False
AC010280.1,False
AC010280.2,False
AC010285.1,False
AC010300.1,False
AC010307.3,False
AC010307.4,False
AC010319.3,False
AC010319.4,False
AC010319.5,False
AC010320.1,False
AC010320.2,False
AC010320.3,False
AC010320.4,False
AC010323.1,True
AC010325.1,False
AC010325.2,False
AC010327.1,True
AC010327.3,False
AC010327.4,False
AC010328.1,False
AC010329.1,True
AC010331.1,False
AC010333.1,False
AC010333.2,False
AC010333.3,False
AC010335.1,False
AC010336.1,True
AC010336.2,False
AC010336.3,False
AC010336.4,False
AC010336.6,False
AC010343.3,False
AC010359.1,False
AC010395.1,False
AC010401.1,False
AC010401.2,False
AC010420.1,False
AC010422.1,False
AC010422.2,False
AC010422.3,False
AC010422.6,False
AC010424.2,False
AC010424.3,False
AC010445.1,False
AC010457.1,False
AC010463.2,False
AC010468.2,True
AC010478.1,False
AC010487.2,False
AC010491.1,False
AC010501.1,False
AC010503.1,False
AC010503.2,False
AC010503.4,False
AC010504.1,False
AC010519.1,False
AC010522.1,True
AC010524.1,False
AC010525.1,False
AC010531.3,False
AC010531.5,False
AC010531.6,False
AC010531.7,False
AC010536.1,True
AC010536.3,False
AC010538.1,False
AC010542.1,False
AC010542.2,False
AC010542.3,False
AC010542.4,False
AC010542.5,False
AC010547.1,False
AC010547.3,False
AC010547.4,False
AC010551.1,False
AC010551.2,False
AC010551.3,False
AC010595.1,True
AC010605.1,False
AC010609.1,True
AC010616.1,False
AC010618.2,False
AC010618.3,False
AC010619.1,False
AC010624.2,False
AC010624.3,False
AC010632.1,False
AC010636.2,False
AC010642.2,True
AC010643.1,False
AC010649.1,True
AC010654.1,False
AC010680.1,False
AC010680.2,False
AC010680.3,False
AC010680.4,False
AC010680.5,False
AC010719.1,False
AC010731.2,True
AC010735.2,False
AC010737.1,False
AC010745.2,True
AC010745.4,True
AC010745.5,False
AC010746.1,False
AC010754.1,True
AC010761.1,False
AC010761.2,False
AC010761.3,False
AC010761.4,False
AC010761.5,False
AC010761.6,True
AC010768.1,False
AC010768.2,False
AC010776.2,False
AC010776.3,False
AC010789.1,False
AC010809.1,False
AC010809.2,False
AC010809.3,False
AC010834.1,False
AC010834.2,False
AC010834.3,False
AC010857.1,False
AC010864.1,False
AC010880.1,True
AC010883.1,False
AC010884.1,True
AC010889.1,False
AC010890.1,True
AC010894.2,False
AC010894.3,True
AC010894.4,True
AC010904.2,False
AC010907.2,True
AC010931.2,False
AC010969.1,True
AC010969.2,False
AC010973.1,False
AC010973.2,False
AC010976.1,False
AC010976.2,True
AC010978.1,False
AC010980.2,True
AC010983.1,True
AC010997.2,False
AC010997.3,False
AC010997.4,False
AC010997.5,False
AC010998.2,False
AC010999.2,False
AC011005.1,False
AC011005.4,False
AC011008.1,False
AC011043.1,True
AC011092.2,False
AC011120.1,False
AC011124.1,False
AC011124.2,False
AC011139.1,False
AC011195.2,False
AC011247.1,False
AC011247.2,False
AC011257.1,False
AC011287.1,False
AC011290.1,False
AC011298.1,True
AC011306.1,True
AC011313.1,True
AC011330.3,False
AC011337.1,False
AC011352.1,False
AC011362.1,False
AC011363.1,True
AC011365.1,False
AC011365.2,False
AC011369.1,False
AC011373.1,False
AC011374.1,False
AC011374.2,False
AC011377.1,False
AC011389.1,False
AC011396.1,False
AC011405.1,False
AC011416.3,False
AC011442.1,False
AC011443.1,False
AC011444.1,False
AC011444.2,False
AC011445.2,False
AC011446.1,False
AC011446.2,False
AC011447.3,False
AC011448.1,False
AC011450.1,True
AC011451.1,False
AC011453.1,True
AC011455.1,False
AC011462.1,False
AC011462.2,False
AC011466.1,False
AC011466.2,False
AC011466.3,False
AC011468.3,False
AC011468.5,False
AC011471.2,False
AC011472.1,False
AC011472.4,False
AC011473.4,False
AC011476.3,False
AC011477.3,False
AC011477.4,False
AC011479.1,False
AC011481.1,False
AC011481.2,False
AC011484.1,True
AC011491.3,False
AC011495.2,False
AC011495.3,False
AC011498.1,True
AC011498.2,False
AC011498.3,False
