axis,gene,coefficient
pc1,ALCAM,0.0005508229071913564
pc1,ALDH18A1,-0.00032809660137615574
pc1,ALDH1A1,0.0015027594322826925
pc1,ALDH1A2,-2.0912886470343683e-05
pc1,ALDH1B1,-0.00045183490455738925
pc1,ALDH1L1,2.693428898191837e-05
pc1,ALDH1L1-AS1,1.9559744306742332e-05
pc1,ALDH1L2,-3.6907718624974886e-05
pc1,ALDH3A1,0.00013231889610397813
pc1,ALDH3A2,-0.0002592327486144998
pc1,ALDH3B1,-2.2390142609777697e-05
pc1,ALDH3B2,2.1325549739184997e-05
pc1,ALDH5A1,0.00036524427559044844
pc1,ALDH6A1,-0.00023488486508095176
pc1,ALDH7A1,-0.000438069089865299
pc1,ALDH8A1,-0.00012198840128050572
pc1,ALDOA,-0.0002372450836331444
pc1,ALDOB,-6.756397706778084e-06
pc1,ALDOC,-0.00012325816795552785
pc1,ALG10,8.085901020216306e-06
pc1,ALG10B,2.4204547122322603e-05
pc1,ALG12,-0.00020036956806630498
pc1,ALG13,-0.0003420458461051067
pc1,ALG13-AS1,8.304349970052547e-06
pc1,ALG14,-0.00013684258434248044
pc1,ALG1L,0.00011095378964621755
pc1,ALG1L2,-9.938434813621458e-05
pc1,ALG2,-0.0001872660855102165
pc1,ALG3,-0.0001987196443193386
pc1,ALG5,5.763869509480336e-05
pc1,ALG6,-4.5715311196634615e-05
pc1,ALG8,-2.9270131030009405e-06
pc1,ALK,0.0002626895029055396
pc1,ALKBH1,-2.0683080854963595e-05
pc1,ALKBH2,2.18222319235846e-05
pc1,ALKBH3-AS1,-1.4270648453593292e-05
pc1,ALKBH4,-0.0003041465688164015
pc1,ALKBH5,-0.00024213215806283324
pc1,ALKBH7,0.00026832171636567687
pc1,ALKBH8,-0.00017352987797115396
pc1,ALLC,1.9393044284170017e-06
pc1,ALMS1,4.947513279888622e-05
pc1,ALOX12,0.0009777374222090496
pc1,ALOX12B,9.032856788421064e-05
pc1,ALOX15,-0.0001364376017000464
pc1,ALOX15B,0.00014171287955428143
pc1,ALOX5,-0.00048809831997870197
pc1,ALOX5AP,-0.0005997674280888553
pc1,ALOXE3,-4.976948366740158e-06
pc1,ALPK1,9.695316049937112e-05
