axis,gene,coefficient
ilr_stem_vs_committed,AC010595.1,0.0
ilr_stem_vs_committed,AC010609.1,0.0
ilr_stem_vs_committed,AC010642.2,-9.259378393045667e-05
ilr_stem_vs_committed,AC010649.1,3.90514080083117e-06
ilr_stem_vs_committed,AC010731.2,0.0
ilr_stem_vs_committed,AC010745.2,-2.1443337221229143e-06
ilr_stem_vs_committed,AC010745.4,5.278190887735658e-06
ilr_stem_vs_committed,AC010754.1,1.9398037081116633e-05
ilr_stem_vs_committed,AC010761.6,0.0
ilr_stem_vs_committed,AC010880.1,-0.000847447802216042
ilr_stem_vs_committed,AC010884.1,1.12029117206907e-05
ilr_stem_vs_committed,AC010890.1,1.162545465987319e-06
ilr_stem_vs_committed,AC010894.3,3.548969588488791e-05
ilr_stem_vs_committed,AC010894.4,1.0767093084029819e-05
ilr_stem_vs_committed,AC010907.2,-4.478180464018645e-06
ilr_stem_vs_committed,AC010969.1,4.8457198408235685e-06
ilr_stem_vs_committed,AC010976.2,0.0001097211647917436
ilr_stem_vs_committed,AC010980.2,0.00014141207089511069
ilr_stem_vs_committed,AC010983.1,5.523396273971248e-05
ilr_stem_vs_committed,AC011043.1,0.0006750125580597047
ilr_stem_vs_committed,AC011298.1,1.1534232083411036e-05
ilr_stem_vs_committed,AC011306.1,-0.00012798301316474398
ilr_stem_vs_committed,AC011313.1,1.9022830568248355e-05
ilr_stem_vs_committed,AC011363.1,2.5613234343482604e-05
ilr_stem_vs_committed,AC011450.1,-6.162469299875318e-05
ilr_stem_vs_committed,AC011453.1,-3.548258178239489e-05
ilr_stem_vs_committed,AC011484.1,0.00047014801234678314
ilr_stem_vs_committed,AC011498.1,-0.0002150095633929721
ilr_stem_vs_committed,AC011499.1,-9.550057044805059e-06
ilr_stem_vs_committed,AC011524.1,-3.1480786686430563e-07
ilr_stem_vs_committed,AC011591.1,1.0746633990878217e-05
ilr_stem_vs_committed,AC011752.1,-1.692212091166274e-05
ilr_stem_vs_committed,AC011997.1,0.00010048953037048892
ilr_stem_vs_committed,AC012065.4,0.00020828261610729112
ilr_stem_vs_committed,AC012074.1,0.0001020474786070169
ilr_stem_vs_committed,AC012123.1,0.0
ilr_stem_vs_committed,AC012150.1,0.000645957356345643
ilr_stem_vs_committed,AC012306.2,-9.872453774110331e-05
ilr_stem_vs_committed,AC012313.1,0.00031341669367148756
ilr_stem_vs_committed,AC012322.1,6.923247704433295e-07
ilr_stem_vs_committed,AC012360.1,0.00036284386221914483
ilr_stem_vs_committed,AC012368.1,-0.0016169989785819515
ilr_stem_vs_committed,AC012370.2,-1.390814838313202e-05
ilr_stem_vs_committed,AC012445.1,9.878069232978005e-09
ilr_stem_vs_committed,AC012462.1,0.0
ilr_stem_vs_committed,AC012462.3,4.8457198408235685e-06
ilr_stem_vs_committed,AC012499.1,6.68790824270214e-06
ilr_stem_vs_committed,AC012506.4,0.0
ilr_stem_vs_committed,AC012507.4,5.721438052260441e-05
ilr_stem_vs_committed,AC012593.1,-2.6549115936059275e-05
ilr_stem_vs_committed,AC012594.1,1.8106719786892055e-05
ilr_stem_vs_committed,AC012603.1,-3.6906896633236796e-05
ilr_stem_vs_committed,AC012668.1,-1.1927356255678813e-05
ilr_stem_vs_committed,AC012668.3,4.75807694248785e-05
ilr_stem_vs_committed,AC013275.1,6.908204247686205e-07
ilr_stem_vs_committed,AC013402.1,-1.4855080352675838e-05
ilr_stem_vs_committed,AC013448.1,3.1219938783707124e-05
ilr_stem_vs_committed,AC013468.1,0.0002821957435537408
ilr_stem_vs_committed,AC013472.3,0.00012027076375495942
ilr_stem_vs_committed,AC013476.1,-8.87236314916202e-06
ilr_stem_vs_committed,AC013731.1,0.00021339894658388458
ilr_stem_vs_committed,AC015726.1,0.0002248396022965037
ilr_stem_vs_committed,AC015849.2,-6.2871052431920655e-06
ilr_stem_vs_committed,AC015923.1,6.908204247686205e-07
ilr_stem_vs_committed,AC015971.1,-3.0890969398904964e-05
ilr_stem_vs_committed,AC015987.1,-0.0004317463472106728
ilr_stem_vs_committed,AC016292.1,7.408379722407196e-06
ilr_stem_vs_committed,AC016405.2,-0.00026404595165297834
ilr_stem_vs_committed,AC016575.1,0.00019376462824872965
ilr_stem_vs_committed,AC016597.1,1.8158463021000757e-05
ilr_stem_vs_committed,AC016644.1,1.0717652183989965e-05
ilr_stem_vs_committed,AC016700.3,1.4567097407622292e-05
ilr_stem_vs_committed,AC016710.1,-8.752407146703452e-06
ilr_stem_vs_committed,AC016722.3,-5.440465797673088e-05
ilr_stem_vs_committed,AC016727.1,5.034589281165589e-06
ilr_stem_vs_committed,AC016735.1,0.0007542623133370835
ilr_stem_vs_committed,AC016737.1,-2.736823726546355e-05
ilr_stem_vs_committed,AC016745.1,0.00018687973570201137
ilr_stem_vs_committed,AC016831.6,-4.5423858784789574e-05
ilr_stem_vs_committed,AC016831.7,-0.0004184439769795593
ilr_stem_vs_committed,AC016885.1,6.475220117147273e-06
ilr_stem_vs_committed,AC016907.2,-3.143895541923979e-05
ilr_stem_vs_committed,AC016910.1,1.7213687841433385e-06
ilr_stem_vs_committed,AC017002.1,0.0001342734316052577
ilr_stem_vs_committed,AC017002.2,5.8110265245797305e-06
ilr_stem_vs_committed,AC017006.2,-1.8267390585548585e-06
ilr_stem_vs_committed,AC017074.1,6.924659443375043e-05
ilr_stem_vs_committed,AC017074.2,1.7213687841433385e-06
ilr_stem_vs_committed,AC017083.1,-0.00024423638657845165
ilr_stem_vs_committed,AC017083.2,1.0887290087182781e-05
ilr_stem_vs_committed,AC017083.3,-1.8275909746089785e-05
ilr_stem_vs_committed,AC018445.1,0.0
ilr_stem_vs_committed,AC018630.2,5.089694193288205e-05
ilr_stem_vs_committed,AC018690.1,0.0003690776687105029
ilr_stem_vs_committed,AC018692.1,1.7213687841433385e-06
ilr_stem_vs_committed,AC018742.1,-2.921174860041739e-05
ilr_stem_vs_committed,AC018755.1,3.3474425462329674e-06
ilr_stem_vs_committed,AC019117.1,-5.706060422284433e-06
ilr_stem_vs_committed,AC019117.2,2.8042206269276037e-05
ilr_stem_vs_committed,AC019118.2,-2.451396772418879e-05
ilr_stem_vs_committed,AC019129.2,-0.00021258906907419754
ilr_stem_vs_committed,AC019171.1,2.2068899490684684e-05
ilr_stem_vs_committed,AC019186.1,1.7293307386436212e-05
ilr_stem_vs_committed,AC019205.1,-0.00018460872988343126
ilr_stem_vs_committed,AC019330.1,0.0
ilr_stem_vs_committed,AC020595.1,0.0
ilr_stem_vs_committed,AC020636.1,-4.069595916497325e-05
ilr_stem_vs_committed,AC020703.1,-5.864857435274795e-05
ilr_stem_vs_committed,AC020743.2,-1.7235424432852342e-05
ilr_stem_vs_committed,AC020892.1,0.00010924097879848911
ilr_stem_vs_committed,AC020900.1,-1.729706069090954e-05
ilr_stem_vs_committed,AC020907.1,-3.2568304194220335e-06
ilr_stem_vs_committed,AC020915.1,0.0001035615967867451
ilr_stem_vs_committed,AC021224.1,5.239919190397631e-05
ilr_stem_vs_committed,AC022021.1,0.00013631896802388245
ilr_stem_vs_committed,AC022182.1,-0.00016902130723749794
ilr_stem_vs_committed,AC022182.2,-0.0006296481861312771
ilr_stem_vs_committed,AC022400.2,3.7344746015213793e-06
ilr_stem_vs_committed,AC022596.2,3.7344746015213793e-06
ilr_stem_vs_committed,AC022872.1,1.2825943257534177e-05
ilr_stem_vs_committed,AC023128.1,0.00029468161989282634
ilr_stem_vs_committed,AC023347.1,0.0
ilr_stem_vs_committed,AC023469.1,0.0
ilr_stem_vs_committed,AC023481.1,9.449259130948269e-05
ilr_stem_vs_committed,AC023590.1,0.0006048516840236354
ilr_stem_vs_committed,AC024028.1,0.0
ilr_stem_vs_committed,AC024084.1,-5.4323944873629176e-05
