leiden,rank,gene,score,logfoldchange,pvals_adj
4,12,CD99,48.04111862182617,2.114119291305542,0.0
4,13,GAPDH,46.91008758544922,1.9777462482452393,0.0
4,14,IER2,46.09779739379883,2.04946231842041,0.0
4,15,ENO1,46.004154205322266,2.106560468673706,0.0
4,16,MIF,45.66516876220703,1.8413572311401367,0.0
4,17,GADD45A,45.62694549560547,2.9152753353118896,0.0
4,18,MIR181A1HG,45.209014892578125,2.2224252223968506,0.0
4,19,ARMH1,42.764408111572266,1.9467726945877075,0.0
4,20,PPP1R15A,42.425174713134766,1.7664737701416016,0.0
5,1,TRGV4,65.24476623535156,7.7777628898620605,0.0
5,2,TMSB10,64.98277282714844,2.8999900817871094,0.0
5,3,ARMH1,64.7420425415039,3.317474365234375,0.0
5,4,TMEM131L,57.257080078125,3.638901948928833,0.0
5,5,EVL,56.76062774658203,2.6123158931732178,0.0
5,6,CDK6,55.11646270751953,2.7701263427734375,0.0
5,7,RPS26,52.60175704956055,2.176079273223877,0.0
5,8,PTP4A2,51.46562957763672,2.3469386100769043,0.0
5,9,CLEC11A,51.297000885009766,3.2967276573181152,0.0
5,10,TRGC2,48.19939422607422,3.4352807998657227,0.0
5,11,DNTT,48.159751892089844,3.080418109893799,0.0
5,12,MYO7B,47.38431930541992,2.952792167663574,0.0
5,13,CD3D,46.39777755737305,2.143479585647583,0.0
5,14,CD1E,46.36121368408203,3.3867125511169434,0.0
5,15,PRMT7,46.31283187866211,3.3183507919311523,0.0
5,16,CD1B,46.13665771484375,3.54771089553833,0.0
5,17,PGM2L1,45.71321105957031,2.671501874923706,0.0
5,18,ARL4C,44.96414566040039,2.308382987976074,0.0
5,19,ACTG1,44.905616760253906,2.254940986633301,0.0
5,20,HSPB1,44.53334045410156,2.196864604949951,0.0
6,1,PRDX2,68.16979217529297,5.859856128692627,0.0
6,2,CA2,67.44775390625,7.485835075378418,0.0
6,3,CA1,66.44477844238281,8.149539947509766,0.0
6,4,AHSP,66.37621307373047,7.376616477966309,0.0
6,5,BLVRB,65.17695617675781,6.037227153778076,0.0
6,6,UROD,62.73860549926758,4.808427333831787,0.0
6,7,HBB,62.605323791503906,10.416149139404297,0.0
6,8,HMBS,62.55940628051758,5.297982215881348,0.0
6,9,RHAG,62.19732666015625,6.276473522186279,0.0
6,10,HBD,61.51947784423828,6.6076884269714355,0.0
6,11,HBM,61.26229476928711,7.490499019622803,0.0
6,12,MGST3,61.078426361083984,4.5741376876831055,0.0
6,13,GYPA,61.00381851196289,6.3813958168029785,0.0
6,14,ANK1,60.800724029541016,5.558552265167236,0.0
6,15,HBA1,60.68939208984375,5.853455066680908,0.0
6,16,ATP5IF1,60.62449264526367,3.2614612579345703,0.0
6,17,GYPC,60.17763137817383,3.341610908508301,0.0
6,18,HBA2,60.162391662597656,5.957130432128906,0.0
6,19,UBAC1,60.001976013183594,5.013418674468994,0.0
6,20,SLC4A1,59.06794357299805,5.973811149597168,0.0
7,1,RPS19,56.306697845458984,2.050708770751953,0.0
7,2,RPL28,55.952491760253906,1.8718904256820679,0.0
7,3,RPL22L1,55.05949783325195,2.7664895057678223,0.0
7,4,ZBTB16,54.63730239868164,4.596933841705322,0.0
7,5,RPL18,54.343265533447266,1.9349949359893799,0.0
7,6,RPS28,54.26493453979492,1.8720036745071411,0.0
7,7,RPS3,52.75249099731445,1.9172035455703735,0.0
7,8,RPL36,52.695838928222656,1.931398630142212,0.0
7,9,EEF2,52.23683547973633,1.8908876180648804,0.0
7,10,TPT1,51.42586135864258,1.8163199424743652,0.0
7,11,RPS5,50.9463005065918,1.965537190437317,0.0
7,12,TRGC2,50.31591033935547,3.612316370010376,0.0
7,13,RPL13A,49.851707458496094,1.8051462173461914,0.0
7,14,FTL,49.810585021972656,1.8978712558746338,0.0
7,15,BLK,49.25558090209961,3.7682008743286133,0.0
7,16,RPS25,49.0716438293457,1.764394760131836,0.0
7,17,STXBP2,48.85882568359375,3.237607479095459,0.0
7,18,SCGB3A1,48.766990661621094,3.671602249145508,0.0
7,19,ITM2A,48.48640441894531,2.8887526988983154,0.0
7,20,RPL8,47.972511291503906,1.808742880821228,0.0
8,1,RPS27A,63.05480194091797,2.354015350341797,0.0
8,2,RPL30,62.229026794433594,2.275822162628174,0.0
8,3,RPS27,61.807621002197266,2.650665521621704,0.0
8,4,RPL32,61.342777252197266,2.1518757343292236,0.0
8,5,RPS14,60.280975341796875,2.218656301498413,0.0
8,6,RPS15A,59.978981018066406,2.0668773651123047,0.0
8,7,RPS12,59.58951950073242,2.246715545654297,0.0
8,8,RPS25,59.234275817871094,2.1461989879608154,0.0
8,9,RPL14,58.6761360168457,2.0791263580322266,0.0
8,10,RPL39,58.647117614746094,2.2486660480499268,0.0
8,11,RPL11,58.442813873291016,2.056251287460327,0.0
8,12,RPL13,58.24288558959961,1.9451935291290283,0.0
8,13,RPS3A,57.633094787597656,2.118238925933838,0.0
